022-02-25 16:58:53,589 - __main__ - INFO - Preparing Client
2022-02-25 17:29:38,021 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:29:38,201 - __main__ - INFO - ==> Reinitialization for Round : 10
2022-02-25 17:29:41,421 - __main__ - INFO - Rebuild time: 3.2198100090026855
2022-02-25 17:29:41,422 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:29:41,423 - __main__ - INFO - ====================================>
2022-02-25 17:29:41,423 - __main__ - INFO - ROUND: 10 START
2022-02-25 17:29:41,967 - Client - INFO - Network speed is 37.68718517140561
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [03:00<00:00,  3.60s/it]
2022-02-25 17:32:42,193 - Client - INFO - Total time: 180.22430562973022
2022-02-25 17:32:42,194 - Client - INFO - 50 iterations!!
2022-02-25 17:32:42,194 - Client - INFO - training_time_per_iteration: 3.6044861125946044
2022-02-25 17:32:42,196 - __main__ - INFO - ROUND: 10 END
2022-02-25 17:32:42,196 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:32:42,380 - __main__ - INFO - ==> Reinitialization for Round : 11
2022-02-25 17:32:45,651 - __main__ - INFO - Rebuild time: 3.2706291675567627
2022-02-25 17:32:45,652 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:32:45,652 - __main__ - INFO - ====================================>
2022-02-25 17:32:45,653 - __main__ - INFO - ROUND: 11 START
2022-02-25 17:32:46,155 - Client - INFO - Network speed is 40.82140803090095
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.58s/it]
2022-02-25 17:35:44,961 - Client - INFO - Total time: 178.80441522598267
2022-02-25 17:35:44,962 - Client - INFO - 50 iterations!!
2022-02-25 17:35:44,962 - Client - INFO - training_time_per_iteration: 3.5760883045196534
2022-02-25 17:35:44,964 - __main__ - INFO - ROUND: 11 END
2022-02-25 17:35:44,964 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:35:45,124 - __main__ - INFO - ==> Reinitialization for Round : 12
2022-02-25 17:35:48,368 - __main__ - INFO - Rebuild time: 3.243206024169922
2022-02-25 17:35:48,369 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:35:48,369 - __main__ - INFO - ====================================>
2022-02-25 17:35:48,370 - __main__ - INFO - ROUND: 12 START
2022-02-25 17:35:48,885 - Client - INFO - Network speed is 39.8093704834674
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:57<00:00,  3.55s/it]
2022-02-25 17:38:46,360 - Client - INFO - Total time: 177.47376775741577
2022-02-25 17:38:46,361 - Client - INFO - 50 iterations!!
2022-02-25 17:38:46,361 - Client - INFO - training_time_per_iteration: 3.5494753551483154
2022-02-25 17:38:46,363 - __main__ - INFO - ROUND: 12 END
2022-02-25 17:38:46,364 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:38:46,529 - __main__ - INFO - ==> Reinitialization for Round : 13
2022-02-25 17:38:49,652 - __main__ - INFO - Rebuild time: 3.123194694519043
2022-02-25 17:38:49,653 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:38:49,654 - __main__ - INFO - ====================================>
2022-02-25 17:38:49,655 - __main__ - INFO - ROUND: 13 START
2022-02-25 17:38:50,157 - Client - INFO - Network speed is 40.78268499290215
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:59<00:00,  3.59s/it]
2022-02-25 17:41:49,829 - Client - INFO - Total time: 179.6698033809662
2022-02-25 17:41:49,830 - Client - INFO - 50 iterations!!
2022-02-25 17:41:49,830 - Client - INFO - training_time_per_iteration: 3.5933960676193237
2022-02-25 17:41:49,832 - __main__ - INFO - ROUND: 13 END
2022-02-25 17:41:49,833 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:41:50,062 - __main__ - INFO - ==> Reinitialization for Round : 14
2022-02-25 17:41:53,176 - __main__ - INFO - Rebuild time: 3.113992691040039
2022-02-25 17:41:53,177 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:41:53,178 - __main__ - INFO - ====================================>
2022-02-25 17:41:53,178 - __main__ - INFO - ROUND: 14 START
2022-02-25 17:41:53,664 - Client - INFO - Network speed is 42.20519443280258
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.56s/it]
2022-02-25 17:44:51,877 - Client - INFO - Total time: 178.21080875396729
2022-02-25 17:44:51,877 - Client - INFO - 50 iterations!!
2022-02-25 17:44:51,878 - Client - INFO - training_time_per_iteration: 3.5642161750793457
2022-02-25 17:44:51,880 - __main__ - INFO - ROUND: 14 END
2022-02-25 17:44:51,880 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:44:52,064 - __main__ - INFO - ==> Reinitialization for Round : 15
2022-02-25 17:44:55,348 - __main__ - INFO - Rebuild time: 3.2832190990448
2022-02-25 17:44:55,349 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:44:55,350 - __main__ - INFO - ====================================>
2022-02-25 17:44:55,350 - __main__ - INFO - ROUND: 15 START
2022-02-25 17:44:56,409 - Client - INFO - Network speed is 19.36513129839347
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:57<00:00,  3.56s/it]
2022-02-25 17:47:54,324 - Client - INFO - Total time: 177.912127494812
2022-02-25 17:47:54,325 - Client - INFO - 50 iterations!!
2022-02-25 17:47:54,325 - Client - INFO - training_time_per_iteration: 3.5582425498962404
2022-02-25 17:47:54,327 - __main__ - INFO - ROUND: 15 END
2022-02-25 17:47:54,328 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:47:54,511 - __main__ - INFO - ==> Reinitialization for Round : 16
2022-02-25 17:47:58,677 - __main__ - INFO - Rebuild time: 4.165091514587402
2022-02-25 17:47:58,678 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:47:58,678 - __main__ - INFO - ====================================>
2022-02-25 17:47:58,679 - __main__ - INFO - ROUND: 16 START
2022-02-25 17:47:59,569 - Client - INFO - Network speed is 23.02034164698265
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:57<00:00,  3.55s/it]
2022-02-25 17:50:57,193 - Client - INFO - Total time: 177.6212236881256
2022-02-25 17:50:57,193 - Client - INFO - 50 iterations!!
2022-02-25 17:50:57,194 - Client - INFO - training_time_per_iteration: 3.552424473762512
2022-02-25 17:50:57,196 - __main__ - INFO - ROUND: 16 END
2022-02-25 17:50:57,196 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:50:57,823 - __main__ - INFO - ==> Reinitialization for Round : 17
2022-02-25 17:51:01,091 - __main__ - INFO - Rebuild time: 3.2672786712646484
2022-02-25 17:51:01,092 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:51:01,092 - __main__ - INFO - ====================================>
2022-02-25 17:51:01,093 - __main__ - INFO - ROUND: 17 START
2022-02-25 17:51:01,689 - Client - INFO - Network speed is 34.386243284323555
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.58s/it]
2022-02-25 17:54:00,612 - Client - INFO - Total time: 178.9207625389099
2022-02-25 17:54:00,612 - Client - INFO - 50 iterations!!
2022-02-25 17:54:00,612 - Client - INFO - training_time_per_iteration: 3.5784152507781983
2022-02-25 17:54:00,615 - __main__ - INFO - ROUND: 17 END
2022-02-25 17:54:00,615 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:54:00,786 - __main__ - INFO - ==> Reinitialization for Round : 18
2022-02-25 17:54:04,042 - __main__ - INFO - Rebuild time: 3.25553822517395
2022-02-25 17:54:04,043 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:54:04,044 - __main__ - INFO - ====================================>
2022-02-25 17:54:04,044 - __main__ - INFO - ROUND: 18 START
2022-02-25 17:54:04,589 - Client - INFO - Network speed is 37.62948470868906
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.56s/it]
2022-02-25 17:57:02,750 - Client - INFO - Total time: 178.15916085243225
2022-02-25 17:57:02,750 - Client - INFO - 50 iterations!!
2022-02-25 17:57:02,751 - Client - INFO - training_time_per_iteration: 3.563183217048645
2022-02-25 17:57:02,753 - __main__ - INFO - ROUND: 18 END
2022-02-25 17:57:02,753 - __main__ - INFO - ==> Waiting for aggregration
2022-02-25 17:57:02,890 - __main__ - INFO - ==> Reinitialization for Round : 19
2022-02-25 17:57:06,256 - __main__ - INFO - Rebuild time: 3.3644282817840576
2022-02-25 17:57:06,258 - __main__ - INFO - ==> Reinitialization Finish
2022-02-25 17:57:06,259 - __main__ - INFO - ====================================>
2022-02-25 17:57:06,260 - __main__ - INFO - ROUND: 19 START
2022-02-25 17:57:06,788 - Client - INFO - Network speed is 38.91875971900351
ras
100%|████████████████████████████████████████████████████████████████████| 50/50 [02:58<00:00,  3.56s/it]
2022-02-25 18:00:04,809 - Client - INFO - Total time: 178.01898288726807
2022-02-25 18:00:04,809 - Client - INFO - 50 iterations!!
2022-02-25 18:00:04,810 - Client - INFO - training_time_per_iteration: 3.5603796577453615
